omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
628.377991,100.00946339780451,0.989532,0.9762508000000001,-0.186,-0.2944,-0.20877194453730655,-16.867877488651434,0.9342489897449615,-0.2832745129042831,100.009003,1600.151001,0.0,102409.640625,1.647,2788.0,1298.0,1.189,0.424,0.014,1.644,2781.0,1302.0,1.19,0.419,0.005,3.0
1256.755005,200.01877130122963,0.97113,0.9593320000000002,-0.368,-0.40060000000000007,-0.36062137450893295,-22.952689272940784,0.88337897757734,-0.3741115718584681,200.018997,3200.301025,0.0,204819.28125,1.647,2791.0,1296.0,1.189,0.424,0.005,1.644,2766.0,1317.0,1.159,0.412,0.003,3.0
1886.269043,300.2090421946689,0.941528,0.9339476,-0.546,-0.5390000000000001,-0.5935497916559915,-30.88242515755138,0.801534739926908,-0.4793747805590777,300.209015,4803.345215,0.0,307414.09375,1.647,2791.0,1295.0,1.201,0.424,0.004,1.644,2746.0,1336.0,1.132,0.399,0.003,3.0
2513.510986,400.03769793768373,0.904938,0.8990172000000001,-0.717,-0.7092,-0.9246399852768803,-40.634166830677984,0.6822489599373722,-0.5854641599280129,400.037994,6400.603027,0.0,409638.5625,1.647,2787.0,1302.0,1.19,0.424,0.012,1.644,2715.0,1365.0,1.079,0.384,0.004,3.0
3141.888916,500.0471516270367,0.86261,0.8576720000000001,-0.878,-0.8742000000000001,-1.3335753578263818,-50.08797045033657,0.5502915218101913,-0.6578605479946521,500.046997,8000.75293,0.0,512048.1875,1.647,2783.0,1307.0,1.188,0.424,0.003,1.644,2686.0,1397.0,1.038,0.365,0.004,3.0
3765.729004,599.3343853311197,0.81488,0.8119202000000001,-1.037,-1.0326000000000002,-1.8097330704160488,-59.163621925208815,0.41618065704562635,-0.6971427915923042,599.333984,9589.350586,0.0,613718.4375,1.647,2791.0,1296.0,1.202,0.424,0.003,1.644,2643.0,1439.0,0.969,0.345,0.005,3.0
4401.294922,700.487842841558,0.764404,0.7631652,-1.193,-1.1842000000000001,-2.347628829825251,-67.84966209939209,0.2877423804841776,-0.7068418811617905,700.487976,11207.805664,0.0,717299.5625,1.647,2790.0,1296.0,1.199,0.424,0.014,1.644,2614.0,1468.0,0.92,0.324,0.003,3.0
5014.937988,798.152170089524,0.712769,0.7131286000000001,-1.338,-1.3306,-2.9366429167278794,-76.23776422010734,0.1696485313222287,-0.6926555969297953,798.151978,12770.432617,0.0,817307.6875,1.647,2780.0,1307.0,1.184,0.424,0.03,1.644,2574.0,1508.0,0.858,0.302,0.003,3.0
5669.060059,902.2589310746819,0.661163,0.6631408000000001,-1.475,-1.4702000000000002,-3.567885022524122,-84.23625504013364,0.06659707301924542,-0.6597882618612652,902.258972,14436.141602,0.0,923913.0625,1.647,2790.0,1299.0,1.198,0.424,0.004,1.644,2536.0,1547.0,0.796,0.28,0.005,3.0
6283.186035,1000.0001158362165,0.612427,0.6141174,-1.61,-1.6022,-4.2349719485647315,-91.79929793586051,-0.019282372425114935,-0.6138146064541143,1000.0,16000.0,0.0,1000000.0,1.647,2788.0,1300.0,1.196,0.424,0.003,1.644,2497.0,1588.0,0.732,0.259,0.001,3.0
6912.195801,1100.110129348193,0.564941,0.5670164,-1.735,-1.7266000000000004,-4.9280875936938955,-98.92689290728796,-0.0879862526052955,-0.5601482100493022,1100.109985,17601.988281,0.0,1000000.0,1.647,2788.0,1298.0,1.192,0.424,0.031,1.644,2465.0,1618.0,0.68,0.239,0.006,3.0
7542.839844,1200.4802461231006,0.519287,0.5223570000000001,-1.853,-1.8460000000000003,-5.640651620545645,-105.76800898114999,-0.1419468329413256,-0.5027006386179825,1200.47998,19206.869141,0.0,1000000.0,1.647,2787.0,1302.0,1.192,0.424,0.012,1.645,2433.0,1645.0,0.633,0.22,0.004,3.0
8170.592773,1300.3902278138664,0.477264,0.48029160000000004,-1.96,-1.9570000000000003,-6.369900176675225,-112.12784050710212,-0.18091356315450977,-0.4449160636539203,1300.390015,20805.287109,0.0,1000000.0,1.648,2787.0,1300.0,1.191,0.424,0.019,1.645,2397.0,1689.0,0.569,0.202,0.004,3.0
8799.978516,1400.5600799238814,0.437866,0.440985,-2.072,-2.0620000000000003,-7.111523654090869,-118.14389735597577,-0.2080071507324013,-0.3888454647661306,1400.560059,22409.701172,0.0,1000000.0,1.647,2792.0,1296.0,1.197,0.424,0.005,1.644,2369.0,1707.0,0.529,0.186,0.003,3.0
