section,name,value,evidence,suggestion
summary,判定,二阶带阻系统,,
summary,置信度,0.99,,
summary,Top3,带阻/2阶 0.99 / 未知/1阶 0.07 / 高通/1阶 0.03,,
summary,关键频率,"陷波中心 1965 Hz, 阻带宽度 7603 Hz",,
summary,测量健康,A 可直接验收（90/100）,,
summary,测量质量,无削顶；输入RMS中位数 0.4240 V；输出RMS中位数 0.3305 V；PA1 DC约 1.641 V,,
summary,AI结论,当前数据只能证明被测对象在 100-20000 Hz 范围内呈现带阻趋势；估计关键频率约 1965 Hz，已经超出本次扫频范围，不能把等效传函当最终模型。,,
summary,控制校正,自动: 暂未生成校正器。,,
summary,测量补扫,估计关键边界超出当前扫频范围，不能继续按外推频点加密补扫；请先扩大总扫频范围覆盖真实截止点，或把当前频段作为局部已补扫结果验收。,,
summary,故障证据,暂未触发故障知识库规则,,
summary,下一步建议,自动: 暂未生成校正器。；请确认测量的是开环频响；如果扫频全程低于 0 dB，请填写目标穿越 Hz，软件会按该频点计算比例增益或超前校正器。；估计关键边界超出当前扫频范围，不能继续按外推频点加密补扫；请先扩大总扫频范围覆盖真实截止点，或把当前频段作为局部已补扫结果验收。,,
candidate,bandstop/2,0.99,特征分=1.00; 拟合分=1.00; 传统分析分=1.00; 传统可靠锚定; R2=0.999,
candidate,unknown/1,0.066,特征分=0.12; 拟合分=0.00; 传统分析分=0.00; 传统可靠锚定,
candidate,highpass/1,0.03131,特征分=0.12; 拟合分=0.23; 传统分析分=0.00; 传统可靠锚定; R2=-0.000,
candidate,lowpass/1,0.03129,特征分=0.12; 拟合分=0.23; 传统分析分=0.00; 传统可靠锚定; R2=-0.006,
candidate,highpass/3,0.02999,特征分=0.12; 拟合分=0.21; 传统分析分=0.00; 传统可靠锚定; R2=-0.000,
control_compensation,summary,自动: 暂未生成校正器。,,
control_compensation,暂不校正,0.4,暂未生成校正器,请确认测量的是开环频响；如果扫频全程低于 0 dB，请填写目标穿越 Hz，软件会按该频点计算比例增益或超前校正器。
ai_practical,conclusion,当前数据只能证明被测对象在 100-20000 Hz 范围内呈现带阻趋势；估计关键频率约 1965 Hz，已经超出本次扫频范围，不能把等效传函当最终模型。,,
experiment_recommendation,,若要确认真实截止点，把总扫频扩到 200-200000 Hz，步进约 2000 Hz。,,
experiment_recommendation,,若要演示中心频率移动，同时改变等效 R 或 C：RC 乘积增大时中心频率降低，RC 乘积减小时中心频率升高。,,
experiment_recommendation,,若演示自动控制校正，先按“控制校正建议”填写目标穿越 Hz，再重新导入同一组数据生成 K 或 Gc(s)。,,
measurement_suggestion,,估计关键边界超出当前扫频范围，不能继续按外推频点加密补扫,,
measurement_suggestion,,请先扩大总扫频范围覆盖真实截止点，或把当前频段作为局部已补扫结果验收。,,
control_suggestion,,自动: 暂未生成校正器。,,
control_suggestion,,请确认测量的是开环频响；如果扫频全程低于 0 dB，请填写目标穿越 Hz，软件会按该频点计算比例增益或超前校正器。,,
