omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
628.377991,100.00946339780451,0.977692,0.9423526000000001,-0.186,-0.28359999999999996,-0.5157313373057836,-16.249083069910146,0.9047096963654455,-0.26368312048575177,0.0,1.647,1.205,0.424,1.64,1.17,0.414,3.0
1256.755005,200.01877130122963,0.925385,0.9012332000000001,-0.355,-0.372,-0.9032563586885649,-21.314029978866625,0.839590877408573,-0.3275796687136469,0.0,1.647,1.202,0.424,1.641,1.105,0.392,3.0
1886.269043,300.2090421946689,0.853302,0.8439394000000001,-0.505,-0.48119999999999996,-1.4737747449865672,-27.57072910169521,0.7481017677069177,-0.39061164348511834,0.0,1.647,1.196,0.424,1.641,1.021,0.362,3.0
2513.510986,400.03769793768373,0.772095,0.7713258000000001,-0.628,-0.6075999999999999,-2.255242834431454,-34.812915632148815,0.6332743231694751,-0.44034886324354605,0.0,1.647,1.196,0.424,1.64,0.931,0.327,3.0
3141.888916,500.0471516270367,0.691223,0.6947022000000002,-0.732,-0.7136,-3.164026515780567,-40.886268260535545,0.5252020639993797,-0.45472402471788487,0.0,1.647,1.197,0.424,1.64,0.819,0.293,3.0
3765.729004,599.3343853311197,0.614624,0.6202516,-0.818,-0.7996000000000001,-4.148642134979642,-45.81370529866063,0.4323113931331527,-0.444768374179002,0.0,1.647,1.188,0.424,1.64,0.732,0.26,3.0
4401.294922,700.487842841558,0.542267,0.5502686000000001,-0.885,-0.8716,-5.188505372917494,-49.939001423602555,0.3541544095576342,-0.42115340000627277,0.0,1.647,1.207,0.424,1.64,0.651,0.23,3.0
5014.937988,798.152170089524,0.481049,0.4859376000000001,-0.935,-0.9264000000000001,-6.268389911691218,-53.07881014091947,0.2919104591919239,-0.3884889122074403,0.0,1.647,1.198,0.424,1.64,0.579,0.204,3.0
5669.060059,902.2589310746819,0.42218,0.4274354,-0.988,-0.9676000000000001,-7.382590252329627,-55.439396256858466,0.24247453936931043,-0.35200443027155315,0.0,1.647,1.206,0.424,1.64,0.508,0.179,3.0
6283.186035,1000.0001158362165,0.369568,0.3746522,-1.006,-0.9952000000000001,-8.527434256643645,-57.020759771419534,0.20393635279837985,-0.31428368550106883,0.0,1.647,1.196,0.424,1.64,0.451,0.157,3.0
6912.195801,1100.110129348193,0.322113,0.326294,-1.024,-1.0112,-9.72781824173249,-57.93749224362885,0.1732112579688958,-0.27652420246487036,0.0,1.647,1.206,0.424,1.64,0.39,0.137,3.0
