omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
628.377991,100.00946339780451,0.989594,0.976154,-0.187,-0.29440000000000005,-0.2096332353082109,-16.867877488651438,0.9341563544280866,-0.2832464248629221,100.009,1600.15,0.0,102410.0,1.647,2792.0,1297.0,1.198,0.424,0.013,1.644,2779.0,1301.0,1.19,0.419,0.001,3.0
1256.755005,200.01877130122963,0.970856,0.9591006,-0.365,-0.4004,-0.36271674639950396,-22.94123011703816,0.8832406847712325,-0.37384469193129427,200.019,3200.3,0.0,204819.0,1.647,2789.0,1297.0,1.188,0.424,0.01,1.644,2765.0,1316.0,1.158,0.411,0.007,3.0
1886.269043,300.2090421946689,0.941132,0.9335572000000001,-0.546,-0.5388,-0.5971813446930672,-30.870966001648753,0.8012955087612018,-0.47901414729730796,300.209,4803.35,0.0,307414.0,1.647,2792.0,1297.0,1.203,0.424,0.005,1.644,2746.0,1336.0,1.132,0.399,0.003,3.0
2513.510986,400.03769793768373,0.904327,0.8984374,-0.717,-0.7090000000000001,-0.9302435526624685,-40.62270767477537,0.6819259631945903,-0.5849502050943227,400.038,6400.6,0.0,409639.0,1.647,2787.0,1302.0,1.191,0.424,0.012,1.644,2720.0,1366.0,1.077,0.383,0.004,3.0
3141.888916,500.0471516270367,0.861877,0.8569762000000001,-0.879,-0.8744000000000001,-1.3406247832909228,-50.099429606239184,0.5497136127279679,-0.6574368040716962,500.047,8000.75,0.0,512048.0,1.647,2782.0,1305.0,1.187,0.424,0.005,1.644,2686.0,1394.0,1.039,0.365,0.003,3.0
3765.729004,599.3343853311197,0.813995,0.8119748000000001,-1.038,-1.0318,-1.809148981451655,-59.117785301598346,0.41676626284970714,-0.696856483061849,599.334,9589.35,0.0,613718.0,1.647,2791.0,1297.0,1.202,0.424,0.004,1.644,2644.0,1439.0,0.97,0.345,0.003,3.0
4401.294922,700.487842841558,0.76355,0.7632016,-1.192,-1.1836000000000002,-2.347214556686074,-67.81528463168425,0.2881801782074488,-0.7067028138693683,700.488,11207.8,0.0,717300.0,1.647,2791.0,1297.0,1.2,0.424,0.017,1.644,2614.0,1471.0,0.919,0.324,0.001,3.0
5014.937988,798.152170089524,0.716125,0.7131040000000001,-1.333,-1.3296000000000001,-2.9369425493195314,-76.18046844059427,0.17033522591291228,-0.6924617141973968,798.152,12770.4,0.0,817308.0,1.647,2780.0,1308.0,1.182,0.424,0.077,1.644,2577.0,1508.0,0.86,0.303,0.008,3.0
5669.060059,902.2589310746819,0.660461,0.6713804000000001,-1.476,-1.4534000000000002,-3.460626830306283,-83.27368594431387,0.07863667489185035,-0.6667592630523506,902.259,14436.1,0.0,923913.0,1.647,2789.0,1298.0,1.198,0.424,0.008,1.644,2535.0,1548.0,0.794,0.28,0.006,3.0
6283.186035,1000.0001158362165,0.611389,0.6313718000000001,-1.609,-1.5624000000000002,-3.99429639242661,-89.51892591123983,0.0053011416744537555,-0.6313495448103115,1000.0,16000.0,0.0,1000000.0,1.647,2787.0,1301.0,1.195,0.424,0.003,1.644,2494.0,1582.0,0.73,0.259,0.001,3.0
6531.378906,1039.5012380960356,0.605377,0.600073,-1.657,-1.6508000000000003,-4.4359182733702625,-94.58387282019632,-0.047956847295395164,-0.5981536141548307,1039.5,16632.4,0.0,1000000.0,1.647,2419.0,1669.0,0.601,0.212,0.048,1.643,2272.0,1811.0,0.366,0.128,0.006,3.0
6912.195801,1100.110129348193,0.563507,0.5716246,-1.737,-1.7262000000000002,-4.857781790260782,-98.90397459548272,-0.08847543850972182,-0.5647360269237942,1100.11,17602.0,0.0,1000000.0,1.647,2791.0,1299.0,1.194,0.424,0.021,1.644,2496.0,1618.0,0.679,0.239,0.006,3.0
7164.408203,1140.2509798355732,0.559631,0.5523864,-1.775,-1.7826000000000002,-5.155140449719772,-102.13545656002056,-0.11612466199583245,-0.5400424036881861,1140.25,18244.3,0.0,1000000.0,1.647,2420.0,1669.0,0.604,0.212,0.016,1.643,2250.0,1831.0,0.337,0.119,0.003,3.0
7542.839844,1200.4802461231006,0.518219,0.5265076,-1.853,-1.8432000000000002,-5.571907110111568,-105.60758079851335,-0.14165542409446177,-0.5070936734789522,1200.48,19206.9,0.0,1000000.0,1.648,2787.0,1302.0,1.192,0.424,0.014,1.645,2432.0,1645.0,0.633,0.22,0.002,3.0
