section,name,value,evidence,suggestion
summary,判定,三阶高通系统,,
summary,置信度,0.97,,
summary,Top3,highpass/3阶 0.97 / highpass/2阶 0.71 / highpass/1阶 0.69,,
summary,关键频率,截止频率 1084 Hz,,
summary,测量质量,无削顶；输入RMS中位数 0.4240 V；输出RMS中位数 0.4150 V；PA1 DC约 1.664 V,,
summary,故障证据,暂未触发故障知识库规则,,
summary,下一步建议,围绕高通截止频率 1084 Hz 加密扫频，建议命令 SWEEP 650 2710 100 0.6。,,
candidate,highpass/3,0.97,特征分=0.87; 拟合分=0.52; 传统分析分=1.00; 传统可靠锚定; R2=0.724,
candidate,highpass/2,0.7086,特征分=0.99; 拟合分=0.92; 传统分析分=0.96; 传统可靠锚定; R2=0.941,
candidate,highpass/1,0.6884,特征分=0.87; 拟合分=0.90; 传统分析分=0.96; 传统可靠锚定; R2=0.933,
candidate,bandpass/2,0.09878,特征分=0.18; 拟合分=0.92; 传统分析分=0.00; 传统可靠锚定; R2=0.941,
candidate,bandstop/2,0.09054,特征分=0.18; 拟合分=0.83; 传统分析分=0.00; 传统可靠锚定; R2=0.892,
suggestion,,围绕高通截止频率 1084 Hz 加密扫频，建议命令 SWEEP 650 2710 100 0.6。,,
